body_part,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
Benen,"[0.6073916133617627, 0.7009671793245601, 0.6682579216825792, 0.6410368428717054, 0.6736111111111112]","[0.6732673267326733, 0.7747747747747747, 0.729064039408867, 0.7115384615384616, 0.7021276595744681]","[0.6476190476190476, 0.7226890756302521, 0.7474747474747475, 0.6788990825688074, 0.6666666666666666]","[844, 844, 844, 844, 844]","[0.496588486140725, 0.6630727762803235, 0.5507126055071261, 0.6038299111693608, 0.6982323232323232]","[0.5396825396825397, 0.68, 0.6442307692307693, 0.7123287671232876, 0.75]","[0.4857142857142857, 0.5714285714285714, 0.6767676767676768, 0.7155963302752294, 0.7575757575757576]","[109, 124, 129, 107, 121]","[74.44010019302368, 75.019846200943, 85.99613738059998, 75.69970417022705, 84.00239372253418]","[0.022169828414916992, 0.02896881103515625, 0.023547887802124023, 0.0237424373626709, 0.027024507522583008]","[1.2995240688323975, 1.6349153518676758, 1.4256377220153809, 1.5322294235229492, 1.3764774799346924]","[0.005524158477783203, 0.0069713592529296875, 0.006093740463256836, 0.005849599838256836, 0.005228281021118164]"
Armen,"[0.5932900432900432, 0.583976833976834, 0.5206724216265334, 0.60625, 0.6758241758241759]","[0.706766917293233, 0.7894736842105263, 0.5833333333333334, 0.8129032258064516, 0.7559055118110236]","[0.6714285714285714, 0.8108108108108109, 0.49295774647887325, 0.9, 0.7619047619047619]","[685, 685, 685, 685, 685]","[0.6110389610389612, 0.5675675675675675, 0.679691049522944, 0.6754464285714286, 0.5982905982905983]","[0.6666666666666666, 0.6962962962962963, 0.7794117647058824, 0.7794117647058824, 0.625]","[0.5857142857142857, 0.6351351351351351, 0.7464788732394366, 0.7571428571428571, 0.5555555555555556]","[81, 72, 80, 75, 68]","[38.973225116729736, 37.92830443382263, 39.69986844062805, 36.27365756034851, 37.70749855041504]","[0.018976688385009766, 0.018863439559936523, 0.018239498138427734, 0.01908731460571289, 0.01771402359008789]","[0.5708084106445312, 0.5739173889160156, 0.5756852626800537, 0.4888591766357422, 0.6071004867553711]","[0.005617856979370117, 0.003000020980834961, 0.004024982452392578, 0.0035135746002197266, 0.002937793731689453]"
Handen,"[0.682404540763674, 0.6600221483942414, 0.660564454614798, 0.5606407322654463, 0.5490196078431373]","[0.7701863354037267, 0.7664670658682635, 0.704225352112676, 0.5555555555555556, 0.6493506493506493]","[0.8157894736842105, 0.7619047619047619, 0.7246376811594203, 0.5072463768115942, 0.6666666666666666]","[556, 556, 556, 556, 556]","[0.45252837977296184, 0.4814507198228128, 0.6289092295957285, 0.5606407322654463, 0.5662745098039216]","[0.5106382978723404, 0.49635036496350365, 0.6412213740458015, 0.5555555555555556, 0.6951219512195121]","[0.47368421052631576, 0.40476190476190477, 0.6086956521739131, 0.5072463768115942, 0.76]","[87, 88, 64, 69, 66]","[40.33519506454468, 40.4915566444397, 36.427895307540894, 38.99428367614746, 40.471161127090454]","[0.01416468620300293, 0.013887882232666016, 0.015642404556274414, 0.015324115753173828, 0.015176534652709961]","[0.7578747272491455, 0.8180792331695557, 0.6386516094207764, 0.9253582954406738, 0.8084053993225098]","[0.003999471664428711, 0.004540681838989258, 0.003516674041748047, 0.0036284923553466797, 0.0029976367950439453]"
Geslacht,"[0.5448700410396716, 0.611904761904762, 0.4917920656634748, 0.6634828349944629, 0.5207802141764405]","[0.7052023121387283, 0.835820895522388, 0.6211180124223602, 0.6666666666666666, 0.496]","[0.7176470588235294, 0.8571428571428571, 0.5882352941176471, 0.5595238095238095, 0.4189189189189189]","[705, 705, 705, 705, 705]","[0.60328317373461, 0.3925170068027211, 0.49808481532147736, 0.6608527131782946, 0.5912799592044875]","[0.7471264367816092, 0.5189873417721519, 0.6666666666666666, 0.7954545454545454, 0.6878980891719745]","[0.7647058823529411, 0.41836734693877553, 0.6705882352941176, 0.8333333333333334, 0.7297297297297297]","[113, 103, 104, 122, 92]","[50.76790523529053, 51.32418918609619, 54.62427616119385, 47.862268924713135, 51.21712923049927]","[0.02865910530090332, 0.020262956619262695, 0.019037485122680664, 0.01904749870300293, 0.0184628963470459]","[0.7557005882263184, 0.6665441989898682, 0.6689553260803223, 0.6899948120117188, 0.7831506729125977]","[0.006002187728881836, 0.004514932632446289, 0.005997896194458008, 0.005105495452880859, 0.004519462585449219]"
Hoofd,"[0.6197927793206579, 0.644798873852937, 0.5966915532132923, 0.6465147922616802, 0.6765932023366966]","[0.6578512396694215, 0.6734006734006734, 0.6506410256410257, 0.7071651090342679, 0.6843971631205674]","[0.6589403973509934, 0.6825938566552902, 0.6835016835016835, 0.737012987012987, 0.7174721189591078]","[1825, 1825, 1825, 1825, 1825]","[0.5824343089083529, 0.5663005803375786, 0.5859317815839555, 0.5977259255267554, 0.5981279872543813]","[0.6020761245674741, 0.5620437956204379, 0.611965811965812, 0.6308724832214765, 0.6060606060606061]","[0.5761589403973509, 0.5255972696245734, 0.6026936026936027, 0.6103896103896104, 0.6319702602230484]","[283, 301, 257, 250, 278]","[478.67475032806396, 493.0400016307831, 473.7081878185272, 457.81878757476807, 526.7510051727295]","[0.05469202995300293, 0.06425762176513672, 0.057769060134887695, 0.05431675910949707, 0.05557560920715332]","[7.5303943157196045, 8.842769145965576, 8.07462215423584, 8.05321717262268, 8.951771020889282]","[0.014147281646728516, 0.015171289443969727, 0.014000415802001953, 0.013025999069213867, 0.018153667449951172]"
Buik,"[0.6418650793650794, 0.544315333789018, 0.6090476190476191, 0.5578631452581032, 0.5609701324949472]","[0.6712328767123288, 0.6052631578947368, 0.7209302325581395, 0.6193548387096774, 0.6133333333333333]","[0.6805555555555556, 0.5974025974025974, 0.7380952380952381, 0.5647058823529412, 0.6301369863013698]","[1019, 1019, 1019, 1019, 1019]","[0.5942460317460317, 0.5329232171337435, 0.5730952380952381, 0.5590636254501801, 0.525488434763081]","[0.6447368421052632, 0.6296296296296297, 0.7011494252873564, 0.5850340136054422, 0.6075949367088608]","[0.6805555555555556, 0.6623376623376623, 0.7261904761904762, 0.5058823529411764, 0.6575342465753424]","[146, 121, 148, 145, 135]","[71.23600792884827, 69.4309778213501, 71.08956527709961, 69.60382413864136, 71.44469404220581]","[0.02750682830810547, 0.02652740478515625, 0.027077913284301758, 0.029898405075073242, 0.02701711654663086]","[0.901179313659668, 1.267160415649414, 0.8518955707550049, 0.8752908706665039, 0.9488036632537842]","[0.0060062408447265625, 0.004999637603759766, 0.00713348388671875, 0.007298707962036133, 0.006451845169067383]"
Billen,"[0.6166666666666667, 0.6923076923076923, 0.4, 0.33035714285714285, 0.6666666666666667]","[0.782608695652174, 0.5555555555555556, 0.6956521739130435, 0.375, 0.7058823529411765]","[0.9, 0.38461538461538464, 0.8, 0.375, 0.6666666666666666]","[110, 110, 110, 110, 110]","[0.6666666666666667, 0.75, 0.5, 0.5, 0.5833333333333333]","[0.8333333333333334, 0.9629629629629629, 0.8, 0.0, 0.782608695652174]","[1.0, 1.0, 1.0, 0.0, 1.0]","[3, 3, 2, 1, 6]","[2.024632692337036, 2.0184125900268555, 1.8058922290802002, 2.4869301319122314, 2.2582669258117676]","[0.002970457077026367, 0.0030176639556884766, 0.0030007362365722656, 0.0027654170989990234, 0.003435850143432617]","[0.08472394943237305, 0.07948827743530273, 0.07621431350708008, 0.08103656768798828, 0.09424328804016113]","[0.001001119613647461, 0.0, 0.0, 0.0, 0.0]"
Voeten,"[0.5463963963963965, 0.5376344086021505, 0.5802222855514392, 0.5281440162271804, 0.4600563909774436]","[0.775330396475771, 0.7863247863247863, 0.7522935779816514, 0.7589285714285714, 0.5494505494505495]","[0.7927927927927928, 0.7419354838709677, 0.6776859504132231, 0.7327586206896551, 0.44642857142857145]","[526, 526, 526, 526, 526]","[0.5068693693693693, 0.5079151732377539, 0.4893131946423483, 0.47287018255578084, 0.5183270676691729]","[0.7387387387387387, 0.8273092369477911, 0.6122448979591837, 0.7181818181818181, 0.6633165829145728]","[0.7387387387387387, 0.8306451612903226, 0.49586776859504134, 0.6810344827586207, 0.5892857142857143]","[78, 79, 72, 74, 86]","[48.1359543800354, 47.1460075378418, 46.41565704345703, 44.19052267074585, 47.454293966293335]","[0.013532161712646484, 0.014548778533935547, 0.015000581741333008, 0.015000343322753906, 0.014075279235839844]","[0.6883072853088379, 0.604755163192749, 0.6054384708404541, 0.7112417221069336, 0.9860785007476807]","[0.003000497817993164, 0.004424095153808594, 0.0029997825622558594, 0.002938508987426758, 0.004520893096923828]"
Keel,"[0.5544871794871795, 0.6101190476190477, 0.609090909090909, 0.5425101214574899, 0.5510366826156299]","[0.5, 0.631578947368421, 0.6601941747572816, 0.6779661016949152, 0.594059405940594]","[0.5128205128205128, 0.625, 0.6181818181818182, 0.7692307692307693, 0.5263157894736842]","[261, 261, 261, 261, 261]","[0.4967948717948718, 0.5401785714285714, 0.551948051948052, 0.4200404858299595, 0.5685805422647527]","[0.3888888888888889, 0.5858585858585859, 0.5168539325842697, 0.5454545454545454, 0.6213592233009708]","[0.358974358974359, 0.6041666666666666, 0.41818181818181815, 0.5769230769230769, 0.5614035087719298]","[55, 56, 42, 43, 55]","[14.199820756912231, 14.715664625167847, 14.119607210159302, 14.77187442779541, 16.283430337905884]","[0.007513284683227539, 0.007461071014404297, 0.00799870491027832, 0.006999969482421875, 0.007556915283203125]","[0.33802151679992676, 0.2787811756134033, 0.2757728099822998, 0.29853320121765137, 0.31302857398986816]","[0.0029489994049072266, 0.004000186920166016, 0.001997709274291992, 0.0029723644256591797, 0.003002166748046875]"
Rug,"[0.625, 0.4285714285714286, 0.4894736842105264, 0.5894736842105263, 0.46875]","[0.8, 0.6470588235294118, 0.6666666666666666, 0.6875, 0.7222222222222222]","[0.875, 0.5238095238095238, 0.5789473684210527, 0.5789473684210527, 0.8125]","[247, 247, 247, 247, 247]","[0.53125, 0.5, 0.43684210526315786, 0.5894736842105263, 0.65625]","[0.11764705882352941, 0.7567567567567568, 0.5806451612903226, 0.6875, 0.7333333333333333]","[0.0625, 0.6666666666666666, 0.47368421052631576, 0.5789473684210527, 0.6875]","[1, 14, 23, 28, 14]","[5.330940246582031, 5.761732816696167, 5.314638137817383, 5.594700336456299, 5.66757869720459]","[0.006999969482421875, 0.005998373031616211, 0.006618499755859375, 0.0065708160400390625, 0.006002187728881836]","[0.1063539981842041, 0.10152864456176758, 0.11252665519714355, 0.10594582557678223, 0.10895895957946777]","[0.0, 0.0, 0.0009999275207519531, 0.0020003318786621094, 0.0]"
