body_part,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
Benen,"[0.6366027007818053, 0.7314095449500555, 0.6516535215165351, 0.6715450706276395, 0.6799242424242424]","[0.6995073891625616, 0.8053097345132744, 0.6974358974358974, 0.7164179104477612, 0.7216494845360825]","[0.6761904761904762, 0.7647058823529411, 0.6868686868686869, 0.6605504587155964, 0.7070707070707071]","[424, 424, 424, 424, 424]",[],[],[],[],"[0.005431175231933594, 0.006000995635986328, 0.004562854766845703, 0.0051784515380859375, 0.005417585372924805]","[0.0015521049499511719, 0.002000093460083008, 0.001950979232788086, 0.002000093460083008, 0.0015590190887451172]",[],[]
Armen,"[0.5647186147186147, 0.6665057915057915, 0.5106769650159019, 0.6089285714285715, 0.63003663003663]","[0.6666666666666666, 0.8082191780821918, 0.5178571428571429, 0.7919463087248322, 0.6724137931034483]","[0.6142857142857143, 0.7972972972972973, 0.4084507042253521, 0.8428571428571429, 0.6190476190476191]","[344, 344, 344, 344, 344]",[],[],[],[],"[0.0039997100830078125, 0.003516674041748047, 0.0035161972045898438, 0.0030939579010009766, 0.0031592845916748047]","[0.0010001659393310547, 0.0019989013671875, 0.0010006427764892578, 0.0009052753448486328, 0.0010426044464111328]",[],[]
Handen,"[0.7052373581011353, 0.6540697674418605, 0.7303585049580474, 0.5983981693363843, 0.5823529411764705]","[0.7770700636942676, 0.7590361445783133, 0.7724137931034483, 0.6046511627906976, 0.6918238993710691]","[0.8026315789473685, 0.75, 0.8115942028985508, 0.5652173913043478, 0.7333333333333333]","[279, 279, 279, 279, 279]",[],[],[],[],"[0.003515005111694336, 0.002999544143676758, 0.004000186920166016, 0.0035173892974853516, 0.0035161972045898438]","[0.0015125274658203125, 0.0020003318786621094, 0.0009999275207519531, 0.0010023117065429688, 0.0009982585906982422]",[],[]
Geslacht,"[0.5389876880984953, 0.5683673469387756, 0.4917920656634748, 0.605343300110742, 0.5209077001529832]","[0.6976744186046512, 0.8159203980099502, 0.6211180124223602, 0.6438356164383562, 0.5547445255474452]","[0.7058823529411765, 0.8367346938775511, 0.5882352941176471, 0.5595238095238095, 0.5135135135135135]","[354, 354, 354, 354, 354]",[],[],[],[],"[0.0040302276611328125, 0.003000020980834961, 0.003000020980834961, 0.003679990768432617, 0.0030002593994140625]","[0.0015141963958740234, 0.002000570297241211, 0.001898050308227539, 0.0020003318786621094, 0.0019147396087646484]",[],[]
Hoofd,"[0.6200865199743645, 0.6194074447882498, 0.5873225003659787, 0.6684337446785579, 0.650059745087626]","[0.6415094339622641, 0.6263345195729537, 0.6156462585034014, 0.721259842519685, 0.6417910447761194]","[0.6192052980132451, 0.6006825938566553, 0.6094276094276094, 0.7435064935064936, 0.6394052044609665]","[917, 917, 917, 917, 917]",[],[],[],[],"[0.022552490234375, 0.02186751365661621, 0.02254772186279297, 0.02616262435913086, 0.021756649017333984]","[0.0035178661346435547, 0.0035140514373779297, 0.004007816314697266, 0.0038886070251464844, 0.003998279571533203]",[],[]
Buik,"[0.6349206349206349, 0.59045340624288, 0.6209523809523809, 0.6030012004801921, 0.5651246350774759]","[0.6620689655172414, 0.6206896551724138, 0.735632183908046, 0.6308724832214765, 0.632258064516129]","[0.6666666666666666, 0.5844155844155844, 0.7619047619047619, 0.5529411764705883, 0.6712328767123288]","[512, 512, 512, 512, 512]",[],[],[],[],"[0.005000114440917969, 0.005502939224243164, 0.004002094268798828, 0.004071950912475586, 0.004999876022338867]","[0.001999378204345703, 0.0009992122650146484, 0.002000093460083008, 0.0019626617431640625, 0.001997709274291992]",[],[]
Billen,"[0.7333333333333334, 0.6538461538461539, 0.39999999999999997, 0.26785714285714285, 0.41666666666666663]","[0.8, 0.47058823529411764, 0.6, 0.26666666666666666, 0.6]","[0.8, 0.3076923076923077, 0.6, 0.25, 0.6666666666666666]","[55, 55, 55, 55, 55]",[],[],[],[],"[0.0019998550415039062, 0.00099945068359375, 0.0007300376892089844, 0.0006158351898193359, 0.0009634494781494141]","[0.0, 0.0, 0.0010013580322265625, 0.0010018348693847656, 0.0010018348693847656]",[],[]
Voeten,"[0.5658783783783784, 0.6100657108721625, 0.5540039897406669, 0.5507099391480731, 0.468515037593985]","[0.7636363636363637, 0.7767857142857143, 0.7567567567567568, 0.7407407407407407, 0.5227272727272727]","[0.7567567567567568, 0.7016129032258065, 0.6942148760330579, 0.6896551724137931, 0.4107142857142857]","[264, 264, 264, 264, 264]",[],[],[],[],"[0.003999471664428711, 0.0044744014739990234, 0.00400090217590332, 0.005063772201538086, 0.004000425338745117]","[0.0018887519836425781, 0.002000570297241211, 0.0018010139465332031, 0.0009686946868896484, 0.0019996166229248047]",[],[]
Keel,"[0.5416666666666666, 0.5997023809523809, 0.609090909090909, 0.5566801619433198, 0.5598086124401913]","[0.4810126582278481, 0.6170212765957447, 0.6601941747572816, 0.6545454545454545, 0.6078431372549019]","[0.48717948717948717, 0.6041666666666666, 0.6181818181818182, 0.6923076923076923, 0.543859649122807]","[131, 131, 131, 131, 131]",[],[],[],[],"[0.002008676528930664, 0.0020020008087158203, 0.0025463104248046875, 0.0015149116516113281, 0.0019998550415039062]","[0.0009987354278564453, 0.0009992122650146484, 0.0, 0.00099945068359375, 0.0010006427764892578]",[],[]
Rug,"[0.46875, 0.5238095238095238, 0.43684210526315786, 0.5631578947368421, 0.53125]","[0.7222222222222222, 0.7894736842105263, 0.5806451612903226, 0.6451612903225806, 0.7428571428571429]","[0.8125, 0.7142857142857143, 0.47368421052631576, 0.5263157894736842, 0.8125]","[124, 124, 124, 124, 124]",[],[],[],[],"[0.0019991397857666016, 0.0009987354278564453, 0.0017840862274169922, 0.0005586147308349609, 0.001998424530029297]","[0.0010006427764892578, 0.001001119613647461, 0.0, 0.0009529590606689453, 0.0005147457122802734]",[],[]
Borstkas,"[0.5913513513513513, 0.6165433403805497, 0.5048148650481487, 0.5050211416490485, 0.5675029868578256]","[0.5647058823529412, 0.5562913907284768, 0.3880597014925373, 0.4691358024691358, 0.5730337078651685]","[0.48, 0.4772727272727273, 0.3561643835616438, 0.4418604651162791, 0.6296296296296297]","[405, 405, 405, 405, 405]",[],[],[],[],"[0.004998683929443359, 0.00500178337097168, 0.004797935485839844, 0.0045626163482666016, 0.00400233268737793]","[0.002001047134399414, 0.0025243759155273438, 0.0020003318786621094, 0.0009527206420898438, 0.002000093460083008]",[],[]
